#qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	db_hit_len	pct_hit_len_aligned	hit_descr
TRINITY_DN11492_c0_g1_i1	EF452301.1_cds_ABR15365.1_1	77.718	1113	230	14	226	1329	104	1207	0	665	1104	85.19	[gene=CRT] [protein=calreticulin] [protein_id=ABR15365.1] [location=36..1331] [gbkey=CDS]
TRINITY_DN79401_c0_g1_i1	AT4G30950.1	79.682	1132	226	4	630	1759	1332	203	0	813	1130	83.89	| Symbols:FADC,SFD4,FAD6 | FATTY ACID DESATURASE C,STEAROYL DESATURASE DEFICIENCY 4,fatty acid desaturase 6 | Chr4:15057278-15059673 REVERSE LENGTH=1347
TRINITY_DN63359_c0_g2_i1	AT1G48410.2	77.531	2608	528	44	906	3487	574	3149	0	1517	2576	81.7	| Symbols:ICU9,AGO1,AtAGO1 | ARGONAUTE 1 | Chr1:17886285-17891892 REVERSE LENGTH=3153
TRINITY_DN63359_c0_g1_i1	AT1G48410.2	77.569	2608	530	42	906	3490	574	3149	0	1524	2576	81.7	| Symbols:ICU9,AGO1,AtAGO1 | ARGONAUTE 1 | Chr1:17886285-17891892 REVERSE LENGTH=3153
TRINITY_DN85633_c1_g1_i1	AT1G01360.1	78.261	460	94	6	955	1411	543	87	1.17E-79	291	457	81.03	| Symbols:PYL9,RCAR1 | regulatory component of ABA receptor 1,PYRABACTIN RESISTANCE 1-LIKE 9 | Chr1:142138-142914 FORWARD LENGTH=564
TRINITY_DN85633_c1_g1_i2	AT1G01360.1	78.261	460	94	6	1273	1729	543	87	1.37E-79	291	457	81.03	| Symbols:PYL9,RCAR1 | regulatory component of ABA receptor 1,PYRABACTIN RESISTANCE 1-LIKE 9 | Chr1:142138-142914 FORWARD LENGTH=564
TRINITY_DN85633_c1_g1_i3	AT1G01360.1	78.261	460	94	6	1090	1546	543	87	1.25E-79	291	457	81.03	| Symbols:PYL9,RCAR1 | regulatory component of ABA receptor 1,PYRABACTIN RESISTANCE 1-LIKE 9 | Chr1:142138-142914 FORWARD LENGTH=564
TRINITY_DN85769_c1_g1_i1	AT1G78580.1	80.834	2254	412	19	576	2819	189	2432	0	1751	2244	79.32	| Symbols:TPS1,ATTPS1 | trehalose-6-phosphate synthase,TREHALOSE-6-PHOSPHATE SYNTHASE 1 | Chr1:29552495-29557482 REVERSE LENGTH=2829
TRINITY_DN85769_c1_g1_i4	AT1G78580.1	80.834	2254	412	19	1003	3246	189	2432	0	1751	2244	79.32	| Symbols:TPS1,ATTPS1 | trehalose-6-phosphate synthase,TREHALOSE-6-PHOSPHATE SYNTHASE 1 | Chr1:29552495-29557482 REVERSE LENGTH=2829
TRINITY_DN45689_c0_g1_i1	AT4G37870.1	82.519	1596	277	2	524	2118	421	2015	0	1400	1595	79.12	| Symbols:PCK1,PEPCK | PHOSPHOENOLPYRUVATE CARBOXYKINASE,phosphoenolpyruvate carboxykinase 1 | Chr4:17802974-17806332 REVERSE LENGTH=2016
TRINITY_DN87897_c0_g1_i2	Solyc12g009020.1.1	76.639	839	188	7	478	1312	199	1033	1.44E-129	457	835	77.75	Protein kinase (AHRD V1 **** C4Q4E0_SCHMA); contains Interpro domain(s) IPR002290 Serine/threonine protein kinase
TRINITY_DN87897_c0_g1_i1	Solyc12g009020.1.1	76.758	839	187	7	477	1311	199	1033	2.69E-131	462	835	77.75	Protein kinase (AHRD V1 **** C4Q4E0_SCHMA); contains Interpro domain(s) IPR002290 Serine/threonine protein kinase
TRINITY_DN84664_c0_g2_i8	AY250704.1_cds_AAP02957.1_1	81.456	1181	208	8	1012	2186	355	1530	0	957	1176	76.71	[gene=TP55] [protein=aldehyde dehydrogenase family 7 member A1] [protein_id=AAP02957.1] [location=38..1570] [gbkey=CDS]
TRINITY_DN84664_c0_g2_i3	AY250704.1_cds_AAP02957.1_1	81.456	1181	208	8	878	2052	355	1530	0	957	1176	76.71	[gene=TP55] [protein=aldehyde dehydrogenase family 7 member A1] [protein_id=AAP02957.1] [location=38..1570] [gbkey=CDS]
TRINITY_DN84664_c0_g2_i6	AY250704.1_cds_AAP02957.1_1	81.425	1179	208	8	565	1737	357	1530	0	953	1174	76.58	[gene=TP55] [protein=aldehyde dehydrogenase family 7 member A1] [protein_id=AAP02957.1] [location=38..1570] [gbkey=CDS]
TRINITY_DN84664_c0_g2_i7	AY250704.1_cds_AAP02957.1_1	81.425	1179	208	8	410	1582	357	1530	0	953	1174	76.58	[gene=TP55] [protein=aldehyde dehydrogenase family 7 member A1] [protein_id=AAP02957.1] [location=38..1570] [gbkey=CDS]
TRINITY_DN122205_c0_g1_i1	AT4G00430.1	78.037	642	135	5	471	1109	852	214	1.06E-112	399	639	73.96	| Symbols:PIP1E,TMP-C,PIP1;4 | plasma membrane intrinsic protein 1;4,PLASMA MEMBRANE INTRINSIC PROTEIN 1E,TRANSMEMBRANE PROTEIN C | Chr4:186143-187531 REVERSE LENGTH=864
TRINITY_DN80847_c0_g1_i1	AF370358.1_cds_AAK53432.1_1	78.204	1225	259	8	759	1979	109	1329	0	776	1221	73.07	[protein=Na+/H+ antiporter] [protein_id=AAK53432.1] [location=142..1812] [gbkey=CDS]
TRINITY_DN80847_c0_g1_i4	AF370358.1_cds_AAK53432.1_1	78.204	1225	259	8	759	1979	109	1329	0	776	1221	73.07	[protein=Na+/H+ antiporter] [protein_id=AAK53432.1] [location=142..1812] [gbkey=CDS]
TRINITY_DN87453_c2_g2_i14	AT1G16540.1	72.727	1782	421	49	1105	2845	1760	3	6.22E-154	538	1758	71.46	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i16	AT1G16540.1	73.345	1782	421	46	1105	2856	1760	3	1.3E-175	610	1758	71.46	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87082_c1_g1_i1	AT2G18960.1	75	2048	475	34	432	2459	114	2144	0	911	2031	71.26	| Symbols:HA1,OST2,AHA1,PMA | H(+)-ATPase 1,PLASMA MEMBRANE PROTON ATPASE,OPEN STOMATA 2 | Chr2:8221858-8227268 FORWARD LENGTH=2850
TRINITY_DN10534_c0_g1_i1	NM_001177007.2_cds_NP_001170478.1_1	77.048	1172	263	6	941	2109	496	1664	0	669	1169	69.96	[gene=IDP2562] [db_xref=GeneID:100384476] [protein=uncharacterized protein LOC100384476] [protein_id=NP_001170478.1] [location=484..2154] [gbkey=CDS]
TRINITY_DN74646_c3_g2_i2	AT4G00430.1	75.478	575	131	8	596	1165	255	824	4.39E-74	272	570	65.97	| Symbols:PIP1E,TMP-C,PIP1;4 | plasma membrane intrinsic protein 1;4,PLASMA MEMBRANE INTRINSIC PROTEIN 1E,TRANSMEMBRANE PROTEIN C | Chr4:186143-187531 REVERSE LENGTH=864
TRINITY_DN74646_c3_g2_i1	AT4G00430.1	75.801	562	126	8	396	952	268	824	3.03E-75	276	557	64.47	| Symbols:PIP1E,TMP-C,PIP1;4 | plasma membrane intrinsic protein 1;4,PLASMA MEMBRANE INTRINSIC PROTEIN 1E,TRANSMEMBRANE PROTEIN C | Chr4:186143-187531 REVERSE LENGTH=864
TRINITY_DN87453_c2_g2_i9	AT1G16540.1	73.084	1579	376	39	1105	2655	1760	203	2.83E-147	516	1558	63.33	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i6	AT1G16540.1	73.067	1578	378	37	1105	2655	1760	203	3.42E-147	516	1558	63.33	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i7	AT1G16540.1	73.253	1488	357	34	1157	2622	1760	292	5.22E-144	505	1469	59.72	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN45689_c0_g2_i1	AT4G37870.1	83.14	1204	201	2	1135	2337	813	2015	0	1098	1203	59.67	| Symbols:PCK1,PEPCK | PHOSPHOENOLPYRUVATE CARBOXYKINASE,phosphoenolpyruvate carboxykinase 1 | Chr4:17802974-17806332 REVERSE LENGTH=2016
TRINITY_DN85222_c0_g1_i1	AT2G17820.1	76.46	2175	458	42	298	2457	156	2291	0	1131	2136	58.94	| Symbols:ATHK1,HK1,AHK1 | histidine kinase 1 | Chr2:7743133-7748013 REVERSE LENGTH=3624
TRINITY_DN73320_c0_g1_i2	AT2G38880.8	84.698	281	41	2	670	949	55	334	2.48E-76	279	280	56.57	"| Symbols:ATNF-YB1,ATHAP3,NF-YB1,HAP3A,HAP3 | HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3A,NUCLEAR FACTOR Y SUBUNIT B1,HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3,""nuclear factor Y, subunit B1"" | Chr2:16238685-16240316 FORWARD LENGTH=495"
TRINITY_DN77387_c0_g1_i4	Solyc12g009020.1.1	73.977	611	137	16	18	617	434	1033	1.17E-60	228	600	55.87	Protein kinase (AHRD V1 **** C4Q4E0_SCHMA); contains Interpro domain(s) IPR002290 Serine/threonine protein kinase
TRINITY_DN77387_c0_g1_i1	Solyc12g009020.1.1	73.977	611	137	16	18	617	434	1033	1.09E-60	228	600	55.87	Protein kinase (AHRD V1 **** C4Q4E0_SCHMA); contains Interpro domain(s) IPR002290 Serine/threonine protein kinase
TRINITY_DN77387_c0_g1_i3	Solyc12g009020.1.1	73.977	611	137	16	18	617	434	1033	6.36E-61	228	600	55.87	Protein kinase (AHRD V1 **** C4Q4E0_SCHMA); contains Interpro domain(s) IPR002290 Serine/threonine protein kinase
TRINITY_DN85769_c1_g1_i3	AT1G78580.1	82.713	1585	257	16	576	2150	189	1766	0	1393	1578	55.78	| Symbols:TPS1,ATTPS1 | trehalose-6-phosphate synthase,TREHALOSE-6-PHOSPHATE SYNTHASE 1 | Chr1:29552495-29557482 REVERSE LENGTH=2829
TRINITY_DN73320_c0_g1_i3	AT2G38880.8	84.477	277	41	2	670	945	55	330	3.39E-74	272	276	55.76	"| Symbols:ATNF-YB1,ATHAP3,NF-YB1,HAP3A,HAP3 | HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3A,NUCLEAR FACTOR Y SUBUNIT B1,HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3,""nuclear factor Y, subunit B1"" | Chr2:16238685-16240316 FORWARD LENGTH=495"
TRINITY_DN73320_c0_g1_i1	AT2G38880.8	84.477	277	41	2	708	983	55	330	3.47E-74	272	276	55.76	"| Symbols:ATNF-YB1,ATHAP3,NF-YB1,HAP3A,HAP3 | HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3A,NUCLEAR FACTOR Y SUBUNIT B1,HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3,""nuclear factor Y, subunit B1"" | Chr2:16238685-16240316 FORWARD LENGTH=495"
TRINITY_DN1978_c0_g1_i1	AT4G33950.1	79.849	531	102	5	4	531	660	132	8.55E-108	383	529	48.58	| Symbols:SNRK2.6,SRK2E,ATOST1,P44,SNRK2-6,OST1 | SNF1-RELATED PROTEIN KINASE 2.6,OPEN STOMATA 1,SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-6 | Chr4:16272364-16274657 FORWARD LENGTH=1089
TRINITY_DN87453_c2_g2_i10	AT1G16540.1	74.305	1187	278	21	1105	2274	1760	584	1.4E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i17	AT1G16540.1	74.305	1187	278	21	1157	2326	1760	584	1.1E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i18	AT1G16540.1	74.305	1187	278	21	1105	2274	1760	584	1.48E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i3	AT1G16540.1	74.305	1187	278	21	1105	2274	1760	584	1.38E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i15	AT1G16540.1	74.305	1187	278	21	1157	2326	1760	584	1.19E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i12	AT1G16540.1	74.305	1187	278	21	1201	2370	1760	584	1.09E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i1	AT1G16540.1	74.305	1187	278	21	3430	4599	1760	584	2.06E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i4	AT1G16540.1	74.052	1187	278	21	1105	2271	1760	584	5.56E-130	459	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i2	AT1G16540.1	74.305	1187	278	21	1567	2736	1760	584	1.25E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN87453_c2_g2_i11	AT1G16540.1	74.305	1187	278	21	1105	2274	1760	584	1.34E-135	477	1177	47.85	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN77387_c0_g2_i1	Solyc12g009020.1.1	75.05	505	108	13	18	513	434	929	3.7E-58	219	496	46.18	Protein kinase (AHRD V1 **** C4Q4E0_SCHMA); contains Interpro domain(s) IPR002290 Serine/threonine protein kinase
TRINITY_DN89689_c2_g2_i2	AT4G29890.1	76.923	559	116	9	376	926	1261	708	3.14E-84	305	554	43.66	| Symbols:no symbol available | no full name available | Chr4:14608868-14610905 FORWARD LENGTH=1269
TRINITY_DN138110_c0_g1_i1	AT4G00430.1	78.342	374	72	7	6	376	368	1	4.96E-63	233	368	42.59	| Symbols:PIP1E,TMP-C,PIP1;4 | plasma membrane intrinsic protein 1;4,PLASMA MEMBRANE INTRINSIC PROTEIN 1E,TRANSMEMBRANE PROTEIN C | Chr4:186143-187531 REVERSE LENGTH=864
TRINITY_DN71406_c1_g1_i2	AT1G08810.1	86.479	355	48	0	943	1297	355	1	8.05E-110	390	355	42.11	| Symbols:AtMYB60,MYB60 | myb domain protein 60 | Chr1:2819279-2820329 REVERSE LENGTH=843
TRINITY_DN80847_c0_g1_i3	AF370358.1_cds_AAK53432.1_1	77.762	706	149	8	759	1460	109	810	2.06E-120	427	702	42.01	[protein=Na+/H+ antiporter] [protein_id=AAK53432.1] [location=142..1812] [gbkey=CDS]
TRINITY_DN62538_c0_g2_i1	AT1G08810.1	79.213	356	70	4	225	578	1	354	6.98E-66	244	354	41.99	| Symbols:AtMYB60,MYB60 | myb domain protein 60 | Chr1:2819279-2820329 REVERSE LENGTH=843
TRINITY_DN89689_c2_g2_i7	AT4G29890.1	76.104	498	106	9	376	865	1261	769	4.09E-67	248	493	38.85	| Symbols:no symbol available | no full name available | Chr4:14608868-14610905 FORWARD LENGTH=1269
TRINITY_DN89689_c2_g2_i6	AT4G29890.1	76.258	497	105	9	376	864	1261	770	6.42E-68	252	492	38.77	| Symbols:no symbol available | no full name available | Chr4:14608868-14610905 FORWARD LENGTH=1269
TRINITY_DN89689_c2_g2_i5	AT4G29890.1	76.258	497	105	9	376	864	1261	770	6.74E-68	252	492	38.77	| Symbols:no symbol available | no full name available | Chr4:14608868-14610905 FORWARD LENGTH=1269
TRINITY_DN88415_c0_g6_i3	AT5G16820.1	77.305	564	111	14	402	960	75	626	2.62E-87	316	552	38.17	| Symbols:HSFA1B,HSF3,ATHSF3,ATHSFA1B | ARABIDOPSIS HEAT SHOCK FACTOR 3,CLASS A HEAT SHOCK FACTOR 1B,heat shock factor 3,ARABIDOPSIS THALIANA CLASS A HEAT SHOCK FACTOR 1B | Chr5:5530446-5532497 FORWARD LENGTH=1446
TRINITY_DN88415_c0_g6_i7	AT5G16820.1	77.305	564	111	14	402	960	75	626	2.77E-87	316	552	38.17	| Symbols:HSFA1B,HSF3,ATHSF3,ATHSFA1B | ARABIDOPSIS HEAT SHOCK FACTOR 3,CLASS A HEAT SHOCK FACTOR 1B,heat shock factor 3,ARABIDOPSIS THALIANA CLASS A HEAT SHOCK FACTOR 1B | Chr5:5530446-5532497 FORWARD LENGTH=1446
TRINITY_DN88415_c0_g6_i8	AT5G16820.1	77.305	564	111	14	402	960	75	626	2.42E-87	316	552	38.17	| Symbols:HSFA1B,HSF3,ATHSF3,ATHSFA1B | ARABIDOPSIS HEAT SHOCK FACTOR 3,CLASS A HEAT SHOCK FACTOR 1B,heat shock factor 3,ARABIDOPSIS THALIANA CLASS A HEAT SHOCK FACTOR 1B | Chr5:5530446-5532497 FORWARD LENGTH=1446
TRINITY_DN80847_c0_g1_i5	AF370358.1_cds_AAK53432.1_1	79.239	631	131	0	1431	2061	699	1329	2.62E-124	440	631	37.76	[protein=Na+/H+ antiporter] [protein_id=AAK53432.1] [location=142..1812] [gbkey=CDS]
TRINITY_DN87453_c2_g2_i8	AT1G16540.1	76.348	909	196	14	1279	2174	1486	584	1.67E-133	470	903	36.71	| Symbols:SIR3,LOS5,ACI2,ABA3,ATABA3,AtLOS5 | SIRTINOL RESISTANT 3,LOW OSMOTIC STRESS 5,ABA DEFICIENT 3,ALTERED CHLOROPLAST IMPORT 2 | Chr1:5659465-5665201 FORWARD LENGTH=2460
TRINITY_DN80847_c0_g1_i2	AF370358.1_cds_AAK53432.1_1	77.645	586	125	6	759	1341	109	691	1.3E-97	351	583	34.89	[protein=Na+/H+ antiporter] [protein_id=AAK53432.1] [location=142..1812] [gbkey=CDS]
TRINITY_DN89689_c2_g2_i1	AT4G29890.1	76.923	403	81	8	376	771	1261	864	7.16E-58	219	398	31.36	| Symbols:no symbol available | no full name available | Chr4:14608868-14610905 FORWARD LENGTH=1269
TRINITY_DN62235_c0_g1_i1	AT4G33950.1	76.994	326	69	6	496	818	839	517	3.07E-47	182	323	29.66	| Symbols:SNRK2.6,SRK2E,ATOST1,P44,SNRK2-6,OST1 | SNF1-RELATED PROTEIN KINASE 2.6,OPEN STOMATA 1,SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-6 | Chr4:16272364-16274657 FORWARD LENGTH=1089
TRINITY_DN71406_c1_g1_i3	AT1G08810.1	86.996	223	29	0	943	1165	355	133	4.54E-68	252	223	26.45	| Symbols:AtMYB60,MYB60 | myb domain protein 60 | Chr1:2819279-2820329 REVERSE LENGTH=843
TRINITY_DN80425_c0_g1_i1	AT4G19230.2	77.961	304	61	5	655	954	1372	1071	3.48E-48	185	302	20.76	"| Symbols:CYP707A1 | ""cytochrome P450, family 707, subfamily A, polypeptide 1"" | Chr4:10521524-10523566 FORWARD LENGTH=1455"
TRINITY_DN10449_c0_g1_i1	AT2G38880.8	86.905	84	11	0	213	296	201	284	1.44E-21	95.3	84	16.97	"| Symbols:ATNF-YB1,ATHAP3,NF-YB1,HAP3A,HAP3 | HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3A,NUCLEAR FACTOR Y SUBUNIT B1,HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 3,""nuclear factor Y, subunit B1"" | Chr2:16238685-16240316 FORWARD LENGTH=495"
TRINITY_DN83601_c1_g4_i1	AT1G45249.3	76.923	208	33	7	6520	6713	322	116	6.4E-23	104	207	16.12	| Symbols:AtABF2,ABF2,ATAREB1,AREB1 | ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING PROTEIN 2,abscisic acid responsive elements-binding factor 2 | Chr1:17165420-17167415 REVERSE LENGTH=1284
TRINITY_DN83601_c1_g4_i3	AT1G45249.3	76.923	208	33	7	6614	6807	322	116	6.48E-23	104	207	16.12	| Symbols:AtABF2,ABF2,ATAREB1,AREB1 | ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING PROTEIN 2,abscisic acid responsive elements-binding factor 2 | Chr1:17165420-17167415 REVERSE LENGTH=1284
TRINITY_DN83774_c0_g2_i1	AT1G09540.1	85.897	156	20	2	20	174	155	1	1.31E-42	165	155	14.08	| Symbols:ATMYB61,MYB61 | myb domain protein 61,ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 61 | Chr1:3086333-3087689 FORWARD LENGTH=1101
TRINITY_DN83774_c0_g1_i1	AT1G09540.1	85.294	136	18	2	164	298	135	1	1.09E-34	139	135	12.26	| Symbols:ATMYB61,MYB61 | myb domain protein 61,ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 61 | Chr1:3086333-3087689 FORWARD LENGTH=1101
TRINITY_DN71406_c1_g1_i1	AT1G08810.1	89.13	92	10	0	943	1034	355	264	5.02E-27	115	92	10.91	| Symbols:AtMYB60,MYB60 | myb domain protein 60 | Chr1:2819279-2820329 REVERSE LENGTH=843
